"AF90" 27.1428571428571
"total" 43
"numNS" 30
"numIF" 4
"EpiGlobal" 24.2666666666667
"numEpiG" 31
"orf1ab.numIncr" 56.6
"orf1ab.numNS" 13
"orf1ab.numINF" 1
"orf1ab.numPos" 4
"orf1ab.numTotal" 17
"spike.numEpi" 49.1666666666667
"spike.numIncr" 59.6
"spike.numDecr" 66.5
"spike.numNS" 14
"spike.numINF" 2
"spike.numPos" 9
"spike.numDom" 4
"spike.numTotal" 14
"geneM.numEpi" 20.5
"geneM.numIncr" 65
"geneM.numNS" 2
"geneN.numNS" 5
"geneN.numINF" 1
"geneN.numPos" 3
"geneN.numTotal" 6
"metaORF.numIncr" 55.6
"metaORF.numINF" 1
"metaORF.numTotal" 8
"AF10" 33.2916666666667
